User,Comment,Source,clean_text
fahrisyahputra238,"""""""ternyata berani kata papa bukan gelut, tapi: JADI FANS MU""""""",tiktok_1,ternyata berani kata papa bukan gelut tapi jadi fans mu
kyshrns,"kalah sudah biasa, seri luar biasa, menang ga mungkin",tiktok_1,kalah sudah biasa seri luar biasa menang ga mungkin
santai4356,dahlah jadi decul aj gw,tiktok_1,dahlah jadi decul aj gw
boipp13,batu di kasih tau juga lagi puasa ga akan menang🥺,tiktok_1,batu di kasih tau juga lagi puasa ga akan menang
boipp13,batu di kasih tau juga lagi puasa ga akan menang🥺,tiktok_1,batu di kasih tau juga lagi puasa ga akan menang
mhmddzki,mu sengaja ngalah itu😌,tiktok_1,mu sengaja ngalah itu
user678901245677,apalagi ketemu king indo bjir🗿🤣,tiktok_1,apalagi ketemu king indo bjir
sbrnaoi,di liga 1 juga paling mentok 15 besarr,tiktok_1,di liga juga paling mentok besarr
elezzzz7,aduhh aku kejawa 😭😭,tiktok_1,aduhh aku kejawa
.dim_1,Kasian bgtt lu bg😂😂😂😂😂😂😂,tiktok_1,kasian bgtt lu bg
azriel___09,pindah Madrid yok mas yok atau kemana kek kasian Bett gua liat mas Kyle 🥹,tiktok_1,pindah madrid yok mas yok atau kemana kek kasian bett gua liat mas kyle
akunkosong6176,mu mau ngapain skrng 😂😂🗿,tiktok_1,mu mau ngapain skrng
jackkahuna123,astaghfirullah united,tiktok_1,astaghfirullah united
mas.ganteng3757,"awokawok masuk lomba rt, rw aja 😂😂",tiktok_1,awokawok masuk lomba rt rw aja
azrifairuznadhip,KAKANG > Meguair YORO Evans 😅😅😅,tiktok_1,kakang meguair yoro evans
_kakfale_,perasaan dulu ga gini🥀,tiktok_1,perasaan dulu ga gini
narzy.tzy6,tapi ini kalah mulu mak😭,tiktok_1,tapi ini kalah mulu mak
kianofc144,Indonesia aja menang njir lawan asean all star dulu,tiktok_1,indonesia aja menang njir lawan asean all star dulu
user7783440625540,kalah 1:0 di europa legue kalah lagi 1:0 di pertandingan persahabatan,tiktok_1,kalah di europa legue kalah lagi di pertandingan persahabatan
goldlanesejati,Coba aja kiper nya de gea behhh tetap masuk sihh udh depan gawang gitu mana bek nya liatin doang wkwkwk😂😂,tiktok_1,coba aja kiper nya de gea behhh tetap masuk sihh udh depan gawang gitu mana bek nya liatin doang wkwkwk
_firmannr,udah gak ketolong,tiktok_1,udah gak ketolong
barca_fans027,kasian,tiktok_1,kasian
pliszx_suka_bolaa_,"""dah dukung aja ntar malem",,dah dukung aja ntar malem
hariszahran570,Ya ampunnnn🤣🤣,tiktok_1,ya ampunnnn
supermen252627,bg aku nitip upin ipin aja lah ga minta banyak² 🤭🤭,tiktok_1,bg aku nitip upin ipin aja lah ga minta banyak
...rohman,komen dulu sebelum rame,tiktok_1,komen dulu sebelum rame
ndraa0658,gk pernah di balas sama bg kyle Kusumo 😥😥,tiktok_1,gk pernah di balas sama bg kyle kusumo
samuel.120710,kejadian 22 mei 2025 kok terjadi😭,tiktok_1,kejadian mei kok terjadi
dimzz_050,pertama ni,tiktok_1,pertama ni
aira.almira36,kenapa myu kalah 😭😭😭😭😭😭,tiktok_1,kenapa myu kalah
adib.royyan,"""SURAT PINDAH CLUBE",,surat pindah clube
laalitaaa_,hari ini banya cowo/suami orang badmood dear para istri apltau cewenya. kelen sbaar aja yaaa beberapa hari ini,tiktok_1,hari ini banya cowosuami orang badmood dear para istri apltau cewenya kelen sbaar aja yaaa beberapa hari ini
andra9249,lu bilang mu comeback hahahahahaha,tiktok_1,lu bilang mu comeback hahahahahaha
bekantanhidup,Sudah² 🤣,tiktok_1,sudah
rambutbrokoli2,ya di acak acak asean😹,tiktok_1,ya di acak acak asean
lah_salah_gua_apa,cape gak bang?,tiktok_1,cape gak bang
didikfirmansyah,"sekelas Mu saja , mau juara aff susah, mungkin ada mafia😅",tiktok_1,sekelas mu saja mau juara aff susah mungkin ada mafia
lutfan566,kalah menang itu memang hal yg wajar tapi MU memang takkan menang,tiktok_1,kalah menang itu memang hal yg wajar tapi mu memang takkan menang
clippydoo.074,apakah masih yakin bakal treble domestik bang,tiktok_1,apakah masih yakin bakal treble domestik bang
black_liliy,😅 akhirnya part 2 sesuai ekspektasi,tiktok_1,akhirnya part sesuai ekspektasi
ytdiablo148,"kalah menang itu hal wajar,tapi kalah nya sama 🗿",tiktok_1,kalah menang itu hal wajartapi kalah nya sama
ksyaaaaylii,"emyu: soal kalah,kami menang",tiktok_1,emyu soal kalahkami menang
cgftrfg,makan lah sikit nanti sakit😁,tiktok_1,makan lah sikit nanti sakit
luvvv_elaina,ga kebayang kalo vs europa all star sekarang 😭,tiktok_1,ga kebayang kalo vs europa all star sekarang
rendy.vsdf,kakang RUDIATO menang,tiktok_1,kakang rudiato menang
lovely_gurlly,"baru latihan 2 hari , bisa ngalahin MU HAHAHAHAH Madura United kah? 🤣",tiktok_1,baru latihan hari bisa ngalahin mu hahahahah madura united kah
kelazgakseh01,mimpi buruk garnacho ya pemain indo HAHAHAHA,tiktok_1,mimpi buruk garnacho ya pemain indo hahahaha
rrpq7_,pov:kakang lah gua mah 1 Minggu 2 trophy🏆 😂🗿🗿🗿🗿,tiktok_1,povkakang lah gua mah minggu trophy
raffa_akhmad,pemain mu minta baju Malik 🗿,tiktok_1,pemain mu minta baju malik
2a63yy,"menang kalah itu adat, MU kalah itu tabiat",tiktok_1,menang kalah itu adat mu kalah itu tabiat
aliyan.izzaril0,abg Kyle ini aku yang photo sama abg di stadium yang bilang ggmanu👍,tiktok_1,abg kyle ini aku yang photo sama abg di stadium yang bilang ggmanu
user8702256814326,"menang kalah itu adat, Mu kalah itu tabiat",tiktok_1,menang kalah itu adat mu kalah itu tabiat
dynm44,"""Mu bermaksud",,mu bermaksud
userluqa2,dh terbukti MU Memang kalah,tiktok_1,dh terbukti mu memang kalah
5y4m_99,"Kalah menang itu adat, tapi MU kalah itu tabiat🤣🤣🤣",tiktok_1,kalah menang itu adat tapi mu kalah itu tabiat
soectry,Mu Blum kena hina memang sdh hina😭,tiktok_1,mu blum kena hina memang sdh hina
user8377308149335,dah pusing2 satu kuala lumpur jumpa peminat lah kalah kasian deh lo 😂😂😂,tiktok_1,dah pusing satu kuala lumpur jumpa peminat lah kalah kasian deh lo
9bulan,"""makanlah sikit",,makanlah sikit
wasabeastz_g,"""Soloz pernah berkata """" Makan la sikit nanti sakit"""" 🤣🤣🤣""",tiktok_1,soloz pernah berkata makan la sikit nanti sakit
lampikut7,Hensom pulak pakai baju Mu kan🤣🤣🤣🤣 tp tu la😩😩🤣🤣🤣,tiktok_1,hensom pulak pakai baju mu kan tp tu la
rezasiuu0,datang Malaysia untuk sokong mu tapi kalah🗿,tiktok_1,datang malaysia untuk sokong mu tapi kalah
epull._5,"kalah menang adat permainan, kalau mu udah tabiat😹",tiktok_1,kalah menang adat permainan kalau mu udah tabiat
_rozi77_,ini salah Malaysia pasti pake Coach malaysia,tiktok_1,ini salah malaysia pasti pake coach malaysia
fauzanx16,menang atau kalah itu adat tetapi mu kalah memang tabiat diaorang,tiktok_1,menang atau kalah itu adat tetapi mu kalah memang tabiat diaorang
firas.jekambing0com,sama ASEAN all star aja kalah 🗿🤣🤣🤣,tiktok_1,sama asean all star aja kalah
zhariffffff,siapa suruh sokong mu,tiktok_1,siapa suruh sokong mu
mirza_ukail230514,Lawan all star pun kalah 🤣🤣🤭🤭,tiktok_1,lawan all star pun kalah
aniqsome1,bang jangan la masuk gua malaysia😔,tiktok_1,bang jangan la masuk gua malaysia
yghummdie5,dulu menang ngelawan europe all staf sekarang kalah ngelawan Asean all star,tiktok_1,dulu menang ngelawan europe all staf sekarang kalah ngelawan asean all star
rxjxsxfeaa,“kalah menang itu hal yang wajar“ HAHAHAHAHHAHAHAHA,tiktok_1,kalah menang itu hal yang wajar hahahahahhahahaha
cwp.malaysia,padahal kiper all asean star biasa biasa dan jadi candagan di Malaysia,tiktok_1,padahal kiper all asean star biasa biasa dan jadi candagan di malaysia
crushmu_uuu,@safrudinia8 om jangan lupa makan yak🗿,tiktok_1,safrudinia om jangan lupa makan yak
yezanelkenzo,@SAN 🌱 @Mahesa @yezan El Kenzo【toxic】 @Pesona Indonesia @PDI Perjuangan @TikTok sedih Wak 🗿,tiktok_1,san mahesa yezan el kenzotoxic pesona indonesia pdi perjuangan tiktok sedih wak
nagaraa27,@bintangajaa🌟 @iqball⚽ @ARMAN makan dulu nak kesehatanmu dijaga cuma pertandingan bola ituu🥀🥀,tiktok_1,bintangajaa iqball arman makan dulu nak kesehatanmu dijaga cuma pertandingan bola ituu
sxatgftza,@່ ‍ ‍‍ ‍ ‍ ‍ ‍ ‍ ‍‍ ‍‍ ‍ ‍ anjayyy,tiktok_1,anjayyy
ariniiiii1212,@Ferzz aduh tadi ngomong di mi anti kalah cnh 🗿,tiktok_1,ferzz aduh tadi ngomong di mi anti kalah cnh
rizz24__,@Pei pake v @🅰️ @4 Tenang emben melok piala presiden😭,tiktok_1,pei pake v tenang emben melok piala presiden
bayndraksma_,@_dappaaa2,tiktok_1,dappaaa
rip_darkoficiall,@mayat_hidup🌹 😁,tiktok_1,mayathidup
vinoo_yuanda_,"""@nda tau",,nda tau
biansyah223,haduh sabar bang mungkin bukan rezekinya,tiktok_1,haduh sabar bang mungkin bukan rezekinya
octeroac,lagi gtm ya bunn,tiktok_1,lagi gtm ya bunn
itsaprillgirl,dikalahin tim baru netes😭 wkwkwk ketawa banget gue,tiktok_1,dikalahin tim baru netes wkwkwk ketawa banget gue
wibunaruto10,dulu gw fans emyu sejak tahun 2013 gw jadi fans @realmadrid,tiktok_1,dulu gw fans emyu sejak tahun gw jadi fans realmadrid
ar08_10_,Bawa ke barak kk cepat,tiktok_1,bawa ke barak kk cepat
cat.king42,"""Aku nk pesan 1 jaa",,aku nk pesan jaa
mirforyouu,TETAP MU KAN BANG?,tiktok_1,tetap mu kan bang
hero.hunter74,lawan asean aja kalh mau lagi dipanggil raja eropa,tiktok_1,lawan asean aja kalh mau lagi dipanggil raja eropa
ravka_03,makan tu MU🗿,tiktok_1,makan tu mu
mayrascorporesion,tak perlu dihina pun sudah hina awokwok,tiktok_1,tak perlu dihina pun sudah hina awokwok
mal.sad11,mu sudah menurun,tiktok_1,mu sudah menurun
abklasvegas,untung mainnya di Malaysia kalau di Indonesia pasti lapangan yg di salahin. .😂,tiktok_1,untung mainnya di malaysia kalau di indonesia pasti lapangan yg di salahin
firmaneu,mending MU ke liga satu Indonesia saja. 😅,tiktok_1,mending mu ke liga satu indonesia saja
lukpiidanishh,"asean all star jgn bangga sangat,lawan kelab bawahan je pon",tiktok_1,asean all star jgn bangga sangatlawan kelab bawahan je pon
her.174,@ckyy ya allahh kalah kecewe berat saya🥺,tiktok_1,ckyy ya allahh kalah kecewe berat saya
ketummcflurry,kalah menang memang hal yang wajar tapi kalau kalah mulu itu udah hina 😂,tiktok_1,kalah menang memang hal yang wajar tapi kalau kalah mulu itu udah hina
riskyajisaputra1,tapi kalahnya sma tim 1mng d bntuk😂,tiktok_1,tapi kalahnya sma tim mng d bntuk
jateja..0,"""itu baru lawan asean all star,belum",,itu baru lawan asean all starbelum
ghostpapperlah,"jangan menghina dia , kerna dia sudah hina😌🗿",tiktok_1,jangan menghina dia kerna dia sudah hina
ryan11brc,kalah sma tim yng sistem borongan 🤣,tiktok_1,kalah sma tim yng sistem borongan
avocado_gurl,"mending emyu daftar liga 1 kita aja saingan ama persib, persija dll",tiktok_1,mending emyu daftar liga kita aja saingan ama persib persija dll
ganas311601,tag @daeng Rukka dulu😁,tiktok_1,tag daeng rukka dulu
shynyzer,kasihan yg taruhan,tiktok_1,kasihan yg taruhan
onlymeowwwww,gak perlu tonton game udah tau gk akan menang HAHHAHA,tiktok_1,gak perlu tonton game udah tau gk akan menang hahhaha
7943116d2,"puncak komedi mu kalah sama tim asean all star yang gak ada star-starnya dan juga itu lapis kedua, yg jago pada di simpan negaranya masing² buat kualaifikasi pildun sama afc, masih tetep aja kalah jirr muu muu 🤣🤣🤣🤣",tiktok_1,puncak komedi mu kalah sama tim asean all star yang gak ada starstarnya dan juga itu lapis kedua yg jago pada di simpan negaranya masing buat kualaifikasi pildun sama afc masih tetep aja kalah jirr muu muu
putrisl000,tanding sama Abang Abang desa aja lah kau MU,tiktok_1,tanding sama abang abang desa aja lah kau mu
yzuu0972,Apalah Kalah sama anak yg baru kerja kelompok😌😌,tiktok_1,apalah kalah sama anak yg baru kerja kelompok
qhusairiee03,mu lemah sangat asian pun tak boleh menang mu beban,tiktok_1,mu lemah sangat asian pun tak boleh menang mu beban
iisismhawattie,sengaja ngalah kan ini,tiktok_1,sengaja ngalah kan ini
kabuki5371,🤣🤣🤣MU tak perlu di hina memang sudah hina,tiktok_1,mu tak perlu di hina memang sudah hina
romywahyudiw,gagalnya ga cuma di Eropa tapi diASEAN😂😂,tiktok_1,gagalnya ga cuma di eropa tapi diasean
afiq0.5ai,huu berak tu 😂😂,tiktok_1,huu berak tu
jateng_cidro25,besok lawan mitrakukar MU coba,tiktok_1,besok lawan mitrakukar mu coba
desta_sampit_27,musim depan tsunami trofi bg,tiktok_1,musim depan tsunami trofi bg
zaldizal40,"di hina tidak tumban, di puji tidak pantas🗿🗿🗿",tiktok_1,di hina tidak tumban di puji tidak pantas
keretahilang2,MU bila udah kalah tiada selera makan,tiktok_1,mu bila udah kalah tiada selera makan
0yswz,@Luppy? @k adoi jangan takmakan nah,tiktok_1,luppy k adoi jangan takmakan nah
xerochromatic,Halah baru Pre-Season ga dapat apa² ngapain menang🤣,tiktok_1,halah baru preseason ga dapat apa ngapain menang
bandhot_tua,"soal menang emyu kalah,,, tapi soal kalah emyu MENANG",tiktok_1,soal menang emyu kalah tapi soal kalah emyu menang
ikiiiii12_,kalah menang biasa aja ini goliri panyunatik,tiktok_1,kalah menang biasa aja ini goliri panyunatik
badranayas7,"kasian ya fans emyu jaman skarang ga pernah nyaksiin di era SAF kasian mreka blum pernah ngrasin terhibur,,fakta loh karena emyu hanya ada di era itu",tiktok_1,kasian ya fans emyu jaman skarang ga pernah nyaksiin di era saf kasian mreka blum pernah ngrasin terhiburfakta loh karena emyu hanya ada di era itu
santuy903,gk usah dihina pun harusnya sadar diri sih🙂🙏,tiktok_1,gk usah dihina pun harusnya sadar diri sih
panca.prasetya0,demam ga doyan makan ya bang 😂,tiktok_1,demam ga doyan makan ya bang
nggakadanamanya10,"kalau masuk FIFA itu patut di curigai, kok bisa MU kalah sama gorengan Al Star, yakin ada mafia",tiktok_1,kalau masuk fifa itu patut di curigai kok bisa mu kalah sama gorengan al star yakin ada mafia
ynssdmlna_27,belum dihina MU udah hina duluan,tiktok_1,belum dihina mu udah hina duluan
noone_.onlyme,"Untung fans MU yg datang stadium, dpt rasa kalah depan mata...selalu nya kat TV je",tiktok_1,untung fans mu yg datang stadium dpt rasa kalah depan mataselalu nya kat tv je
kaiizeyy,uda kelewatan ini cok,tiktok_1,uda kelewatan ini cok
danishzoro5,eh bang bukan kah mu menang 2-3?,tiktok_1,eh bang bukan kah mu menang
sugengdiantoro_,Mainnya klemak klemek pantes peringkat 16,tiktok_1,mainnya klemak klemek pantes peringkat
